"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","SMA (5)","FII Holding"
"Quick Heal Technologies","313.85","2.80","0.90%","82,907.00","-2,242.50","1,684.20","317.23","0.50"
"Bank of Baroda","289.05","2.70","0.94%","69,51,797.00","7.71","1,48,082.00","286.62","8.71"
"RBL Bank","328.25","2.65","0.81%","79,53,347.00","37.22","19,960.00","326.56","15.48"
"Borosil","339.20","2.60","0.77%","4,30,589.00","46.61","4,025.00","345.15","0.44"
"JK Paper","386.85","2.50","0.65%","4,76,873.00","21.45","6,511.00","390.67","11.50"
"Karur Vysya Bank","249.12","2.41","0.98%","18,61,581.00","11.43","23,837.40","248.35","0.00"
"AGI Infra","266.20","2.40","0.91%","4,25,430.00","44.93","3,222.80","264.78","1.78"
"Mishra Dhatu Nigam","374.85","2.25","0.60%","2,19,219.00","59.23","6,980.30","380.96","1.37"
"REC","364.95","2.25","0.62%","63,42,222.00","5.56","95,507.00","370.47","17.97"
"Apollo Micro Systems","268.45","2.10","0.79%","63,87,965.00","113.00","8,883.60","273.55","8.94"
"Indo Count Industries","275.05","2.10","0.77%","1,28,139.00","26.52","5,405.90","280.12","9.99"
"Redington","292.00","2.05","0.71%","3,57,67,764.00","11.99","22,667.50","267.77","61.82"
"Spandana Sphoorty Financial","240.90","2.00","0.84%","66,970.00","-1.16","1,703.50","245.13","20.25"
"Sonata Software","367.80","1.95","0.53%","3,01,377.00","24.09","10,259.30","369.89","8.85"
"Aegis Vopak Terminals","260.15","1.90","0.74%","5,87,604.00","159.85","28,613.90","269.74","6.07"
"Ramco Industries","331.70","1.85","0.56%","1,35,771.00","12.48","2,863.40","345.43","1.26"
"NRB Bearings","269.50","1.85","0.69%","61,089.00","29.10","2,594.10","273.69","14.28"
"KCP","200.14","1.81","0.91%","67,973.00","8.88","2,556.90","200.80","3.08"
"Prince Pipes & Fittings","315.25","1.80","0.57%","1,29,994.00","149.41","3,465.50","319.24","3.71"
"Power Grid Corporation of India","272.00","1.80","0.67%","1,13,79,131.00","16.65","2,51,302.30","279.48","25.67"
"Pace Digitek","215.31","1.71","0.80%","5,04,603.00","16.35","4,610.60","216.30","4.89"
"Artemis Medicare Services","244.94","1.69","0.69%","1,19,746.00","39.20","3,379.50","245.20","0.37"
"EPack Prefab Technologies","327.95","1.60","0.49%","3,70,05,645.00","42.83","3,278.30","301.99","3.00"
"Eveready Industries","367.00","1.60","0.44%","77,012.00","58.16","2,656.00","373.05","5.21"
"Ceigall India","248.80","1.50","0.61%","60,074.00","16.68","4,308.10","249.30","2.48"
"Tata Power","393.20","1.45","0.37%","46,76,601.00","25.92","1,25,177.40","399.81","10.19"
"Apcotex Industries","394.05","1.45","0.37%","1,00,158.00","28.19","2,035.40","369.53","0.59"
"Federal Bank","237.26","1.43","0.61%","70,26,019.00","14.43","58,020.30","237.09","25.54"
"M&M Financial Services","313.25","1.35","0.43%","53,84,033.00","17.65","43,353.20","315.58","9.59"
"Aarti Industries","391.80","1.30","0.33%","1,93,75,432.00","48.98","14,159.30","387.20","6.40"
"Sunflag Iron & Steel Company","260.35","1.25","0.48%","1,11,040.00","23.84","4,669.50","263.71","0.65"
"Jio Financial Services","299.30","1.20","0.40%","93,64,502.00","116.44","1,89,387.20","302.58","11.84"
"Veranda Learning Solutions","232.80","1.08","0.47%","2,48,738.00","-24.00","2,169.00","230.82","2.92"
