"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","Price %Change (Week)","Revenue (Yearly)","FII Holding","SMA (20)","SMA (50)","Open Price","Previous Close Price"
"Rane Madras","843.30","22.00","2.68%","35,698.00","91.66","2,269.80","2.75%","3,421.40","0.04","826.55","839.94","825.50","821.30"
"Rashi Peripherals","335.20","4.95","1.50%","64,266.00","10.05","2,176.30","-1.14%","13,833.40","1.39","332.28","315.59","330.25","330.25"
"Steelcast","214.73","2.88","1.36%","2,38,280.00","24.02","2,143.90","-3.18%","380.60","0.19","221.92","218.82","212.61","211.85"
"Apcotex Industries","354.90","3.70","1.05%","11,722.00","31.27","1,820.80","-0.11%","304.70","0.59","358.23","382.87","351.20","351.20"
"DAM Capital Advisors","252.41","4.76","1.92%","5,58,957.00","21.42","1,750.50","0.44%","250.20","1.76","250.01","239.47","247.65","247.65"
"Arihant Superstructures","422.00","17.85","4.42%","52,820.00","25.47","1,747.90","1.53%","503.60","0.18","420.61","408.94","409.40","404.15"
"Tinna Rubber and Infrastructure","950.75","5.60","0.59%","12,514.00","38.96","1,702.80","-2.48%","509.80","0.60","987.92","916.33","945.95","945.15"
"Vidhi Specialty Food Ingredients","340.50","4.70","1.40%","6,406.00","35.31","1,677.20","2.79%","383.90","0.12","349.92","363.33","338.50","335.80"
"JG Chemicals","428.45","7.80","1.85%","66,691.00","24.62","1,648.40","-3.35%","858.00","4.32","424.46","443.44","423.70","420.65"
"Panama Petrochem","273.20","1.75","0.64%","32,955.00","9.15","1,642.10","1.26%","2,805.20","12.03","273.58","288.78","272.90","271.45"
"Royal Orchid Hotels","482.25","7.45","1.57%","25,787.00","26.14","1,302.10","-1.57%","343.20","8.30","498.56","513.31","474.80","474.80"
"IZMO","903.65","43.00","5.00%","1,19,623.00","26.39","1,281.80","12.73%","259.90","3.31","907.75","916.72","880.00","860.65"
"Electrotherm","1,034.90","59.00","6.05%","20,375.00","3.42","1,243.60","5.09%","4,123.70","5.07","1,051.21","1,001.88","985.65","975.90"
"Quadrant Future Tek","335.95","26.40","8.53%","1,66,19,570.00","-","1,238.20","-6.41%","152.90","1.56","366.82","403.66","326.00","309.55"
"Dhunseri Ventures","329.95","5.70","1.76%","45,945.00","7.91","1,135.70","-2.34%","584.00","0.63","341.21","347.84","324.40","324.25"
"TVS Electronics","626.35","20.65","3.41%","3,90,877.00","-185.15","1,129.60","-3.11%","2,764.40","0.03","611.95","532.23","604.00","605.70"
"Mamata Machinery","451.90","16.60","3.81%","4,27,119.00","24.83","1,071.20","2.43%","259.40","0.20","443.73","444.24","436.90","435.30"
"Ganesh Infraworld","224.10","1.95","0.88%","48,800.00","21.26","949.10","-0.62%","542.60","0.00","228.42","234.33","224.00","222.15"
"Sastasundar Ventures","298.55","5.35","1.82%","10,893.00","-6.28","932.70","-0.45%","1,170.80","2.04","304.97","299.47","295.55","293.20"
"MVK Agro Food Product","525.45","8.05","1.56%","55,200.00","85.80","801.50","-1.79%","155.80","0.00","547.25","467.29","507.10","517.40"
"Parin Enterprises","540.00","4.00","0.75%","12,750.00","86.31","595.90","-3.57%","167.90","0.00","542.70","506.13","515.50","536.00"
"Zodiac Energy","379.35","18.05","5.00%","47,485.00","27.42","546.40","2.69%","409.70","0.54","374.43","385.20","365.00","361.30"
"Mazda","272.85","2.45","0.91%","12,370.00","20.15","541.50","-1.25%","200.70","0.08","280.32","279.73","271.60","270.40"
"Annapurna Swadisht","244.45","1.80","0.74%","50,250.00","24.61","529.50","-1.03%","408.70","0.00","252.42","254.45","243.60","242.65"
"Gujarat Apollo Industries","447.10","7.75","1.76%","10,705.00","-1,162.11","518.40","2.24%","70.20","0.00","447.01","471.55","438.35","439.35"
"Suraj","284.90","3.55","1.26%","2,618.00","49.57","516.70","-3.39%","238.00","0.02","304.29","311.99","282.80","281.35"
"SRG Housing Finance","293.60","5.50","1.91%","1,203.00","18.14","451.80","1.22%","154.50","0.00","297.74","299.01","290.00","288.10"
"Shree Karni Fabcom","559.90","8.90","1.62%","1,500.00","25.68","398.30","-2.63%","169.50","0.00","577.57","555.45","550.00","551.00"
"Infollion Research Services","396.00","15.70","4.13%","3,600.00","29.64","368.80","-0.21%","79.50","0.00","414.22","443.89","405.00","380.30"
"TRF","330.15","2.45","0.75%","9,047.00","31.37","360.60","0.56%","138.80","0.50","338.63","338.32","327.70","327.70"
"Parth Electricals & Engineering","258.80","5.20","2.05%","28,800.00","-","346.60","-5.03%","176.20","0.00","259.40","254.78","240.95","253.60"
"AVG Logistics","220.46","4.38","2.03%","13,341.00","15.38","325.40","-3.23%","554.40","8.56","226.07","226.48","215.20","216.08"
"Poddar Pigments","280.45","2.25","0.81%","3,076.00","15.06","295.20","3.60%","375.50","0.00","280.25","279.12","279.70","278.20"
"Kotyark Industries","287.00","2.35","0.83%","3,100.00","20.30","292.60","2.21%","288.80","0.00","291.45","308.45","282.00","284.65"
"Nureca","258.30","2.75","1.08%","11,709.00","62.53","255.60","-9.93%","122.10","0.08","267.42","253.61","259.90","255.55"
"Macobs Technologies","202.90","2.55","1.27%","16,800.00","75.32","196.20","-1.98%","23.90","0.00","205.25","200.79","200.05","200.35"
"Zenith Exports","238.32","3.32","1.41%","247.00","43.64","126.80","-3.54%","76.20","0.00","242.13","260.30","235.00","235.00"
"Semac Construction","398.25","3.40","0.86%","159.00","-50.99","123.10","-6.06%","177.00","0.04","450.38","493.19","394.85","394.85"
"Rockingdeals Circular Economy","238.00","36.00","17.82%","46,750.00","32.11","114.30","-7.84%","55.50","0.00","202.96","191.50","202.00","202.00"
"HOAC Foods India","270.45","20.45","8.18%","22,500.00","43.71","108.50","2.06%","26.60","0.00","256.02","238.45","252.00","250.00"
"Homesfy Realty","209.95","1.40","0.67%","1,200.00","48.96","67.30","-12.97%","60.10","0.00","225.98","248.71","199.05","208.55"
