"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","Price %Change (Week)","Revenue (Yearly)","FII Holding","SMA (20)","SMA (50)","Open Price","Previous Close Price"
"Owais Metal & Mineral Processing","476.90","15.65","3.39%","16,500.00","-","838.70","-3.73%","214.50","0.00","504.87","485.43","465.00","461.25"
"Automotive Stampings & Assemblies","520.60","11.00","2.16%","30,994.00","52.35","808.40","-3.04%","778.30","0.00","536.13","530.39","507.10","509.60"
"Macpower CNC Machines","793.75","15.50","1.99%","14,073.00","30.04","778.60","-3.67%","262.20","0.00","829.02","845.15","761.00","778.25"
"Patel Retail","227.56","12.12","5.63%","3,03,792.00","28.47","719.60","2.66%","826.00","3.84","224.63","236.97","216.80","215.44"
"Hindustan Composites","472.40","13.95","3.04%","5,803.00","19.98","677.10","0.10%","334.10","0.00","465.89","466.84","459.00","458.45"
"Prakash Pipes","280.10","3.45","1.25%","62,156.00","9.72","661.70","-4.11%","793.00","0.54","292.60","306.06","276.95","276.65"
"Gloster","610.35","9.30","1.55%","3,295.00","-349.77","657.70","-3.99%","760.90","0.00","630.83","646.28","610.05","601.05"
"Cheviot","1,138.40","13.70","1.22%","1,251.00","11.17","657.00","-0.30%","468.40","0.29","1,140.48","1,165.71","1,125.00","1,124.70"
"SIL Investments","608.00","6.80","1.13%","3,127.00","17.98","637.00","-4.55%","56.30","0.09","646.50","613.80","592.05","601.20"
"Sahasra Electronic Solutions","262.00","12.15","4.86%","44,000.00","-265.80","624.40","0.33%","100.60","0.00","264.26","289.45","251.05","249.85"
"Venus Remedies","468.95","22.65","5.08%","52,053.00","11.17","596.60","5.66%","668.80","1.86","448.19","450.81","446.75","446.30"
"CSL Finance","265.40","4.30","1.65%","5,630.00","7.93","594.90","-4.76%","216.00","0.77","275.57","285.08","266.00","261.10"
"Kanpur Plastipack","213.57","8.40","4.09%","19,038.00","25.91","476.50","2.65%","643.10","0.03","208.65","213.39","206.99","205.17"
"TechEra Engineering","269.10","9.10","3.50%","1,91,200.00","128.08","429.50","-6.92%","49.90","0.00","286.38","240.76","254.10","260.00"
"Robust Hotels","239.76","1.85","0.78%","1,664.00","21.63","411.40","0.61%","156.20","0.00","244.85","255.78","237.91","237.91"
"Mangalam Organics","494.85","17.65","3.70%","2,032.00","17.75","408.70","-4.31%","530.30","0.00","507.87","535.88","479.55","477.20"
"Infollion Research Services","386.55","5.15","1.35%","16,400.00","29.73","369.80","1.64%","79.50","0.00","407.09","439.69","380.10","381.40"
"Apollo Sindoori Hotel","1,291.50","15.30","1.20%","689.00","32.58","331.90","-1.72%","552.10","0.00","1,317.96","1,353.52","1,280.10","1,276.20"
"Delphi World Money","201.02","3.61","1.83%","82,959.00","188.67","322.80","-1.87%","9,189.40","0.00","219.93","215.16","200.00","197.41"
"Taurian MPS","321.70","2.35","0.74%","65,600.00","29.87","283.70","3.94%","73.70","0.00","324.62","-","321.00","319.35"
"Diamines & Chemicals","282.60","17.25","6.50%","24,812.00","-52.04","259.60","4.84%","74.60","0.00","283.70","323.02","269.00","265.35"
"Uravi Defence and Technology","222.15","3.31","1.51%","12,537.00","99.12","240.70","-5.33%","41.35","8.24","236.21","286.51","229.50","218.84"
"HVAX Technologies","885.00","40.00","4.73%","300.00","21.25","234.60","-4.32%","131.40","0.00","914.46","874.53","885.00","845.00"
"Voler Car","216.20","8.60","4.14%","45,600.00","52.96","231.30","-8.87%","43.00","0.00","228.95","220.67","197.25","207.60"
"AksharChem","253.90","2.80","1.12%","1,521.00","46.41","201.70","-3.64%","189.00","0.02","265.40","268.20","253.50","251.10"
"Rajputana Biodiesel","273.50","19.85","7.83%","12,500.00","30.12","178.40","9.40%","68.60","0.00","266.14","271.09","258.05","253.65"
"Maitreya Medicare","237.30","7.65","3.33%","6,000.00","83.21","155.60","0.79%","47.20","0.00","243.78","246.29","231.90","229.65"
"Salona Cotspin","270.00","2.80","1.05%","1,037.00","59.16","140.60","-1.32%","662.30","0.00","267.52","254.53","267.20","267.20"
"Loyal Textile Mills","233.05","7.01","3.10%","70.00","-2.00","108.90","-3.79%","690.40","0.00","255.03","282.60","234.80","226.04"
"Kaushalya Infrastructure","1,000.00","14.90","1.51%","350.00","5.72","34.10","-0.54%","0.40","0.00","1,016.20","1,177.42","980.00","985.10"
"KKV Agro Powers","564.00","26.25","4.88%","171.00","19.88","33.50","0.00%","962.20","0.00","589.15","536.78","564.00","537.75"
